n_shots,accuracy,run_num,nspw,model,dataset
1,0.56,0,1,gpt2-large,sst2
1,0.56,1,1,gpt2-large,sst2
1,0.45,2,1,gpt2-large,sst2
3,0.9,0,1,gpt2-large,sst2
3,0.46,1,1,gpt2-large,sst2
3,0.71,2,1,gpt2-large,sst2
5,0.55,0,1,gpt2-large,sst2
5,0.79,1,1,gpt2-large,sst2
5,0.53,2,1,gpt2-large,sst2
3,0.61,0,3,gpt2-large,sst2
3,0.88,1,3,gpt2-large,sst2
3,0.82,2,3,gpt2-large,sst2
9,0.64,0,3,gpt2-large,sst2
9,0.9,1,3,gpt2-large,sst2
9,0.81,2,3,gpt2-large,sst2
15,0.71,0,3,gpt2-large,sst2
15,0.89,1,3,gpt2-large,sst2
15,0.55,2,3,gpt2-large,sst2
5,0.61,0,5,gpt2-large,sst2
5,0.88,1,5,gpt2-large,sst2
5,0.9,2,5,gpt2-large,sst2
15,0.6,0,5,gpt2-large,sst2
15,0.81,1,5,gpt2-large,sst2
15,0.84,2,5,gpt2-large,sst2
25,0.9,0,5,gpt2-large,sst2
25,0.89,1,5,gpt2-large,sst2
25,0.77,2,5,gpt2-large,sst2
27,0.93,0,27,gpt2-large,sst2
27,0.93,1,27,gpt2-large,sst2
27,0.69,2,27,gpt2-large,sst2
81,0.81,0,27,gpt2-large,sst2
81,0.92,1,27,gpt2-large,sst2
81,0.86,2,27,gpt2-large,sst2
135,0.92,0,27,gpt2-large,sst2
135,0.9,1,27,gpt2-large,sst2
135,0.91,2,27,gpt2-large,sst2
1,0.04,0,1,gpt2-large,banking77
1,0.05,1,1,gpt2-large,banking77
1,0.05,2,1,gpt2-large,banking77
3,0.11,0,1,gpt2-large,banking77
3,0.24,1,1,gpt2-large,banking77
3,0.22,2,1,gpt2-large,banking77
5,0.2,0,1,gpt2-large,banking77
5,0.23,1,1,gpt2-large,banking77
5,0.2,2,1,gpt2-large,banking77
3,0.13,0,3,gpt2-large,banking77
3,0.2,1,3,gpt2-large,banking77
3,0.23,2,3,gpt2-large,banking77
9,0.2,0,3,gpt2-large,banking77
9,0.26,1,3,gpt2-large,banking77
9,0.23,2,3,gpt2-large,banking77
15,0.14,0,3,gpt2-large,banking77
15,0.19,1,3,gpt2-large,banking77
15,0.24,2,3,gpt2-large,banking77
5,0.21,0,5,gpt2-large,banking77
5,0.28,1,5,gpt2-large,banking77
5,0.22,2,5,gpt2-large,banking77
15,0.28,0,5,gpt2-large,banking77
15,0.23,1,5,gpt2-large,banking77
15,0.22,2,5,gpt2-large,banking77
25,0.27,0,5,gpt2-large,banking77
25,0.25,1,5,gpt2-large,banking77
25,0.18,2,5,gpt2-large,banking77
27,0.29,0,27,gpt2-large,banking77
27,0.3,1,27,gpt2-large,banking77
27,0.19,2,27,gpt2-large,banking77
81,0.29,0,27,gpt2-large,banking77
81,0.24,1,27,gpt2-large,banking77
81,0.31,2,27,gpt2-large,banking77
135,0.26,0,27,gpt2-large,banking77
135,0.32,1,27,gpt2-large,banking77
135,0.22,2,27,gpt2-large,banking77
1,0.8,0,1,meta-llama/Llama-2-7b-hf,sst2
1,0.92,1,1,meta-llama/Llama-2-7b-hf,sst2
1,0.86,2,1,meta-llama/Llama-2-7b-hf,sst2
3,0.93,0,1,meta-llama/Llama-2-7b-hf,sst2
3,0.85,1,1,meta-llama/Llama-2-7b-hf,sst2
3,0.87,2,1,meta-llama/Llama-2-7b-hf,sst2
5,0.91,0,1,meta-llama/Llama-2-7b-hf,sst2
5,0.92,1,1,meta-llama/Llama-2-7b-hf,sst2
5,0.91,2,1,meta-llama/Llama-2-7b-hf,sst2
3,0.91,0,3,meta-llama/Llama-2-7b-hf,sst2
3,0.87,1,3,meta-llama/Llama-2-7b-hf,sst2
3,0.92,2,3,meta-llama/Llama-2-7b-hf,sst2
9,0.93,0,3,meta-llama/Llama-2-7b-hf,sst2
9,0.93,1,3,meta-llama/Llama-2-7b-hf,sst2
9,0.87,2,3,meta-llama/Llama-2-7b-hf,sst2
15,0.92,0,3,meta-llama/Llama-2-7b-hf,sst2
15,0.91,1,3,meta-llama/Llama-2-7b-hf,sst2
15,0.92,2,3,meta-llama/Llama-2-7b-hf,sst2
5,0.93,0,5,meta-llama/Llama-2-7b-hf,sst2
5,0.92,1,5,meta-llama/Llama-2-7b-hf,sst2
5,0.91,2,5,meta-llama/Llama-2-7b-hf,sst2
15,0.93,0,5,meta-llama/Llama-2-7b-hf,sst2
15,0.91,1,5,meta-llama/Llama-2-7b-hf,sst2
15,0.92,2,5,meta-llama/Llama-2-7b-hf,sst2
25,0.92,0,5,meta-llama/Llama-2-7b-hf,sst2
25,0.92,1,5,meta-llama/Llama-2-7b-hf,sst2
25,0.91,2,5,meta-llama/Llama-2-7b-hf,sst2
48,0.92,0,48,meta-llama/Llama-2-7b-hf,sst2
48,0.93,1,48,meta-llama/Llama-2-7b-hf,sst2
48,0.91,2,48,meta-llama/Llama-2-7b-hf,sst2
144,0.93,0,48,meta-llama/Llama-2-7b-hf,sst2
144,0.94,1,48,meta-llama/Llama-2-7b-hf,sst2
144,0.93,2,48,meta-llama/Llama-2-7b-hf,sst2
240,0.78,0,48,meta-llama/Llama-2-7b-hf,sst2
240,0.78,1,48,meta-llama/Llama-2-7b-hf,sst2
240,0.8,2,48,meta-llama/Llama-2-7b-hf,sst2
1,0.37,0,1,meta-llama/Llama-2-7b-hf,banking77
1,0.37,1,1,meta-llama/Llama-2-7b-hf,banking77
1,0.34,2,1,meta-llama/Llama-2-7b-hf,banking77
3,0.45,0,1,meta-llama/Llama-2-7b-hf,banking77
3,0.44,1,1,meta-llama/Llama-2-7b-hf,banking77
3,0.49,2,1,meta-llama/Llama-2-7b-hf,banking77
5,0.43,0,1,meta-llama/Llama-2-7b-hf,banking77
5,0.42,1,1,meta-llama/Llama-2-7b-hf,banking77
5,0.39,2,1,meta-llama/Llama-2-7b-hf,banking77
3,0.45,0,3,meta-llama/Llama-2-7b-hf,banking77
3,0.42,1,3,meta-llama/Llama-2-7b-hf,banking77
3,0.48,2,3,meta-llama/Llama-2-7b-hf,banking77
9,0.32,0,3,meta-llama/Llama-2-7b-hf,banking77
9,0.45,1,3,meta-llama/Llama-2-7b-hf,banking77
9,0.4,2,3,meta-llama/Llama-2-7b-hf,banking77
15,0.42,0,3,meta-llama/Llama-2-7b-hf,banking77
15,0.35,1,3,meta-llama/Llama-2-7b-hf,banking77
15,0.23,2,3,meta-llama/Llama-2-7b-hf,banking77
5,0.46,0,5,meta-llama/Llama-2-7b-hf,banking77
5,0.41,1,5,meta-llama/Llama-2-7b-hf,banking77
5,0.46,2,5,meta-llama/Llama-2-7b-hf,banking77
15,0.4,0,5,meta-llama/Llama-2-7b-hf,banking77
15,0.45,1,5,meta-llama/Llama-2-7b-hf,banking77
15,0.49,2,5,meta-llama/Llama-2-7b-hf,banking77
25,0.32,0,5,meta-llama/Llama-2-7b-hf,banking77
25,0.35,1,5,meta-llama/Llama-2-7b-hf,banking77
25,0.41,2,5,meta-llama/Llama-2-7b-hf,banking77
51,0.51,0,51,meta-llama/Llama-2-7b-hf,banking77
51,0.54,1,51,meta-llama/Llama-2-7b-hf,banking77
51,0.57,2,51,meta-llama/Llama-2-7b-hf,banking77
153,0.63,0,51,meta-llama/Llama-2-7b-hf,banking77
153,0.61,1,51,meta-llama/Llama-2-7b-hf,banking77
153,0.59,2,51,meta-llama/Llama-2-7b-hf,banking77
255,0.29,0,51,meta-llama/Llama-2-7b-hf,banking77
255,0.3,1,51,meta-llama/Llama-2-7b-hf,banking77
255,0.56,2,51,meta-llama/Llama-2-7b-hf,banking77
